id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
371942,"The White Castle",2023,139,7.4546,7.9779,9360,0,,,,,,102,,
175155,"Forbidden Stars",2015,140,7.45081,7.97753,9350,0,,,,,,100,,
178900,Codenames,2015,141,7.44632,7.54014,93110,0,,,,,5,,,
196340,Yokohama,2016,142,7.44355,7.80763,11776,0,,,,,,105,,
172287,"Champions of Midgard",2015,143,7.44255,7.72125,17655,0,,,,,,124,,
266524,PARKS,2019,144,7.43555,7.66354,26040,0,,,,24,,,,
281259,"The Isle of Cats",2019,145,7.43542,7.68925,22047,0,,,,22,,,,
227935,"Wonderland's War",2022,146,7.43464,8.10145,7243,0,,,,,,101,,
132531,"Roll for the Galaxy",2014,147,7.43459,7.58778,32029,0,,,,,,128,,
254640,"Just One",2018,148,7.43338,7.5994,28335,0,,,,,3,,,
30549,Pandemic,2008,149,7.42693,7.53349,126490,0,,,,31,,163,,
118048,Targi,2012,150,7.42269,7.61081,23962,0,,,,,,127,,
220877,"Rajas of the Ganges",2017,151,7.42252,7.72939,14409,0,,,,,,120,,
263918,Cartographers,2019,152,7.42244,7.59643,30166,0,,,,25,,,,
380607,"Great Western Trail: New Zealand",2023,153,7.42142,8.60203,3596,0,,,,,,64,,
304783,"Hadrian's Wall",2021,154,7.4201,7.94476,8319,0,,,,,,107,,
262712,"Res Arcana",2019,155,7.41947,7.64394,22475,0,,,,,,130,,
161970,Alchemists,2014,156,7.41593,7.6477,22996,0,,,,,,135,,
147020,"Star Realms",2014,157,7.41524,7.56085,45139,0,,,,,,149,,
274364,Watergate,2019,158,7.41446,7.76979,12151,0,,,,,,123,,
240980,"Blood on the Clocktower",2022,159,7.41088,8.32335,5830,0,,,,,1,115,,
271324,"It's a Wonderful World",2019,160,7.40999,7.66987,19402,0,,,,,,133,,
308765,"Praga Caput Regni",2020,161,7.40846,7.89663,8977,0,,,,,,110,,
189932,"Tyrants of the Underdark",2016,162,7.40572,7.90727,9304,0,,,,,,116,,
127023,Kemet,2012,163,7.4032,7.64804,19333,0,,,,,,132,,
14996,"Ticket to Ride: Europe",2005,164,7.40257,7.52766,77313,0,,,,30,,,,
268864,"Undaunted: Normandy",2019,165,7.40081,7.80029,12002,0,,,,,,,,28
463,"Magic: The Gathering",1993,166,7.39912,7.57679,40127,0,,19,,,,,,
2511,"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases",1982,167,7.3988,7.62874,21532,0,,,,,,,44,
34635,"Stone Age",2008,168,7.39878,7.52387,53073,0,,,,29,,150,,
77423,"The Lord of the Rings: The Card Game",2011,169,7.39803,7.66195,24268,0,,9,,,,,,
233398,"Endeavor: Age of Sail",2018,170,7.39776,7.88281,9466,0,,,,,,118,,
337627,Voidfall,2023,171,7.39668,8.57098,3892,0,,,,,,79,,
328871,"Terraforming Mars: Ares Expedition",2021,172,7.39447,7.6714,17727,0,,,,,,137,,
146652,"Legendary Encounters: An Alien Deck Building Game",2014,173,7.39249,7.75597,13247,0,,,,,,,38,
296151,"Viscounts of the West Kingdom",2020,174,7.38927,7.83875,9850,0,,,,,,122,,
235802,"Too Many Bones: Undertow",2018,175,7.38645,8.68391,3405,0,,,,,,84,14,
103885,"Star Wars: X-Wing Miniatures Game",2012,176,7.38616,7.63374,25065,0,,13,,,,,,62
148949,Istanbul,2014,177,7.38565,7.54217,31598,0,,,,28,,145,,
283948,"Marco Polo II: In the Service of the Khan",2019,178,7.38504,7.95742,7372,0,,,,,,111,,
265188,"Glen More II: Chronicles",2019,179,7.38466,7.89665,8349,0,,,,,,117,,
244522,"That's Pretty Clever!",2018,180,7.38218,7.57193,24818,0,,,,26,,,,
249259,"War Chest",2018,181,7.38215,7.84259,10311,0,6,,,,,,,
209418,"Dominion (Second Edition)",2016,182,7.38107,7.83673,10372,0,,,,,,139,,
329082,Radlands,2021,183,7.37805,7.83759,10791,0,,,,,,138,,
82222,"Xia: Legends of a Drift System",2014,184,7.37758,7.8547,10103,0,,,,,,129,35,
233867,"Welcome To...",2018,185,7.37708,7.53189,31369,0,,,,32,,,,
294484,"Unmatched: Cobble & Fog",2020,186,7.37634,7.97357,7768,0,,,,,,126,,
325494,"ISS Vanguard",2022,187,7.37265,8.59299,4565,0,,,,,,,23,
54043,Jaipur,2009,188,7.37187,7.48764,52262,0,,,,36,,,,
9609,"War of the Ring",2004,189,7.36057,7.77747,10726,0,,,,,,,37,20
43111,"Chaos in the Old World",2009,190,7.35981,7.66181,15696,0,,,,,,144,43,
350184,Earth,2023,191,7.35861,7.68073,14928,0,,,,,,146,,
258779,"Planet Unknown",2022,192,7.35247,7.81686,9086,0,,,,23,,131,,
390092,"Ticket to Ride Legacy: Legends of the West",2023,193,7.35102,8.73059,3002,0,,,,14,,,,
339789,"Welcome to the Moon",2021,194,7.3508,7.96152,6819,0,,,,21,,,40,
283355,Dune,2019,195,7.34964,7.94041,8967,0,,,,,,141,42,
188920,"This War of Mine: The Board Game",2017,196,7.34925,7.76978,13309,0,,,,,,,46,
10630,"Memoir '44",2004,197,7.34308,7.53363,30379,0,,,,,,,,68
104162,"Descent: Journeys in the Dark (Second Edition)",2012,198,7.34124,7.61354,25392,0,,,,,,,54,
271896,"Star Wars: Outer Rim",2019,199,7.33987,7.7322,12817,0,,,,,,,45,
227224,"The Red Cathedral",2020,200,7.33767,7.70205,12525,0,,,,,,148,,
39463,"Cosmic Encounter",2008,201,7.3372,7.521,33183,0,,,,,,183,64,
25021,"Sekigahara: The Unification of Japan",2011,202,7.33685,8.00633,6031,0,,,,,,,,6
155426,"Castles of Mad King Ludwig",2014,203,7.33453,7.51754,25996,0,,,,,,161,,
314491,Meadow,2021,204,7.33209,7.74228,10837,0,,,,27,,151,,
199561,Sagrada,2017,205,7.33201,7.47512,42017,0,11,,,44,,,,
287954,"Azul: Summer Pavilion",2019,206,7.33126,7.61594,16286,0,7,,,34,,,,
282524,Horrified,2019,207,7.32969,7.63514,16909,0,,,,40,,,53,
17133,"Railways of the World",2005,208,7.32805,7.66954,12286,0,,,,,,143,,
128882,"The Resistance: Avalon",2012,209,7.32612,7.51221,33891,0,,,,,12,,,
242302,"Space Base",2018,210,7.31947,7.54664,19617,0,,,,41,,,,
70149,"Ora et Labora",2011,211,7.31854,7.68418,11047,0,,,,,,142,,
31627,"Ticket to Ride: Nordic Countries",2007,212,7.31854,7.62534,14217,0,,,,35,,,,
103343,"A Game of Thrones: The Board Game (Second Edition)",2011,213,7.31853,7.53733,34846,0,,,,,,188,,
364011,"Great Western Trail: Argentina",2022,214,7.31502,8.33345,3906,0,,,,,,108,,
118,"Modern Art",1992,215,7.31498,7.50698,22782,0,,,,,,165,,
188,Go,-2200,216,7.31307,7.65396,17363,0,16,,,,,,,
300531,Paleo,2020,217,7.30849,7.68912,12723,0,,,,,,167,52,
14105,"Commands & Colors: Ancients",2006,218,7.30814,7.77907,8843,0,,,,,,,,19
171131,"Captain Sonar",2016,219,7.30728,7.51756,21676,0,,,,,9,,60,
123260,Suburbia,2012,220,7.30467,7.47398,25375,0,,,,,,171,,
104006,Village,2011,221,7.30237,7.49339,23431,0,,,,,,170,,
150376,"Dead of Winter: A Crossroads Game",2014,222,7.30164,7.46262,46670,0,,,,,,,69,
396790,Nucleum,2023,223,7.29887,8.19501,4622,0,,,,,,121,,
285967,"Ankh: Gods of Egypt",2021,224,7.29864,7.7945,9572,0,,,,,,152,,
148228,Splendor,2014,225,7.29686,7.4194,81351,0,,,,54,,,,
822,Carcassonne,2000,226,7.29567,7.41033,128159,0,,,,56,,,,
293014,Nidavellir,2020,227,7.29073,7.59294,13825,0,,,,43,,164,,
215,Tichu,1991,228,7.28972,7.57548,15667,0,,,,,,169,,
316377,"7 Wonders (Second Edition)",2020,229,7.2868,7.85019,8188,0,,,,38,,176,,
182631,"Star Realms: Colony Wars",2015,230,7.28482,7.79957,8234,0,,,,,,157,,
299659,"Clash of Cultures: Monumental Edition",2021,231,7.28361,8.33661,3966,0,,,,,,125,,
241451,"Aeon's End: Legacy",2019,232,7.28186,8.06071,5197,0,,,,,,136,,
91,"Paths of Glory",1999,233,7.28097,8.06425,5283,0,,,,,,,,3
245638,Coimbra,2018,234,7.28072,7.61718,12034,0,,,,,,158,,
306735,"Under Falling Skies",2020,235,7.27924,7.65159,11601,0,,,,,,174,,
195421,"Near and Far",2017,236,7.27798,7.67789,10492,0,,,,,,,50,
295486,"My City",2020,237,7.27722,7.63697,11163,0,,,,42,,168,,
126042,Nations,2013,238,7.2771,7.60258,12324,0,,,,,,160,,
7854,YINSH,2003,239,7.27626,7.70903,9134,0,3,,,,,,,
410201,Wyrmspan,2024,240,7.27542,8.08052,5800,0,,,,33,,155,,
